0,1,-1
2,3,1
4,5,-1
5,8,-1
5,20,1
5,50,1
5,52,1
5,79,-1
20,23,-1
20,25,1
20,35,1
20,50,1
20,52,1
20,57,1
20,79,1
52,57,1
6,7,-1
6,8,-1
7,8,1
7,23,-1
9,10,1
10,25,1
10,98,1
25,35,1
25,39,1
25,50,1
25,56,1
25,57,1
25,79,1
25,88,1
25,93,1
11,12,1
13,14,1
15,16,1
15,17,1
15,18,1
18,31,1
19,20,1
19,21,-1
21,25,1
21,57,1
35,57,1
35,79,1
57,79,1
22,23,1
23,25,-1
23,52,-1
24,25,1
25,52,-1
26,27,1
28,29,1
30,31,1
32,33,1
34,35,-1
36,37,1
38,39,1
39,79,1
40,41,1
41,79,-1
42,43,-1
42,44,-1
45,46,1
47,48,-1
49,50,-1
51,52,1
53,54,1
55,56,-1
55,57,-1
58,59,1
60,61,1
62,63,1
64,65,-1
66,67,-1
66,68,-1
66,69,-1
66,70,1
69,79,1
71,72,1
72,73,1
74,75,-1
76,77,-1
78,79,1
80,81,-1
82,83,1
84,85,1
86,87,1
86,88,1
86,89,1
87,88,1
87,89,1
88,89,1
90,91,1
92,93,1
94,95,1
96,97,1
99,100,-1